"","timepoints","n.samples","clim.signal.ann","clim.timepoints.ssr","proxy.bt","proxy.bt.sb","proxy.bt.sb.sampY","proxy.bt.sb.sampYM","proxy.bt.sb.inf.b","proxy.bt.sb.inf.b.n","proxy.bt.sb.sampYM.b","proxy.bt.sb.sampYM.b.n","simulated.proxy","simulated.proxy.cal.err","reconstructed.climate"
"83",10801,1e+05,27.3552439371745,27.4512321217855,4.56016272584334,4.44814830519856,4.44816147427381,4.44890932873975,NA,NA,NA,4.44890932873975,4.44890932873975,4.44890932873975,27.3360333081558
"84",10836,1e+05,27.3258377075196,27.4753652445476,4.55828441771727,4.44612701202647,4.44559801748674,4.44497404887021,NA,NA,NA,4.44497404887021,4.44497404887021,4.44497404887021,27.3262006326235
"85",10871,1e+05,27.6738601684571,27.4912332407634,4.55381496222644,4.44162258671002,4.44174323081819,4.44657263808775,NA,NA,NA,4.44657263808775,4.44657263808775,4.44657263808775,27.330195911113
"86",10906,1e+05,27.4849614461263,27.4719181569418,4.55094613850709,4.4387268668031,4.4387280852318,4.43866253382922,NA,NA,NA,4.43866253382922,4.43866253382922,4.43866253382922,27.3104125134121
"87",10941,1e+05,27.4174285888672,27.4643339538574,4.54862902037353,4.436099498512,4.43672508424962,4.43717942022545,NA,NA,NA,4.43717942022545,4.43717942022545,4.43717942022545,27.3066992791565
"88",10975,1e+05,27.3905705769857,27.4697451019287,4.54721645080963,4.43446576222132,4.434440631543,4.43360669799784,NA,NA,NA,4.43360669799784,4.43360669799784,4.43360669799784,27.2977492458095
"89",11010,1e+05,27.5411977132162,27.4701625315349,4.54522498675126,4.43268339208288,4.4328990652166,4.43243827979855,NA,NA,NA,4.43243827979855,4.43243827979855,4.43243827979855,27.2948206740406
"90",11058,1e+05,27.4148600260417,27.4342766571045,4.53979424532972,4.42748499297432,4.42764205745602,4.42896928221018,NA,NA,NA,4.42896928221018,4.42896928221018,4.42896928221018,27.2861212841642
"91",11072,1e+05,27.1212809244792,27.433931350708,4.53847697338505,4.4261807522855,4.42599101861519,4.42862197858978,NA,NA,NA,4.42862197858978,4.42862197858978,4.42862197858978,27.2852499571852
"92",11086,1e+05,27.3594604492188,27.439507039388,4.5371205545388,4.42479803834818,4.4245124437927,4.42454127327884,NA,NA,NA,4.42454127327884,4.42454127327884,4.42454127327884,27.2750070254685
